name,AB_CFS,BN_CFS,DS_CFS,DT_CFS,HT_CFS,Ibk_CFS,J48_CFS,Jrip_CFS,LMT_CFS,LOG_CFS,LB_CFS,MLP_CFS,NB_CFS,ONE_CFS,PART_CFS,RC_CFS,RF_CFS,RS_CFS,RT_CFS,REP_CFS,SGD_CFS,SL_CFS,SVM_CFS,STK_CFS,VOTE_CFS,VP_CFS,ZERO_CFS
fri_c0_500_10.arff,0.9033,0.8826357,0.6980578,0.8828771,0.8889,0.7392,0.8337,0.7957,0,0.8847,0.9094689,0.8764,0.8889,0.593891,0.8469777,0.86124,0.8856,0.8739852,0.7716026,0.8533,0.813,0.8947252,0.809,0.5,0.5,0.8310331,0.5
fri_c0_500_25.arff,0.9398,0.8449362,0.6529359,0.8217234,0.9337,0.8177,0.8125,0.8232,0,0.893,0.9123416,0.8747,0.9338,0.6956026,0.8264389,0.8784814,0.9394,0.8928068,0.7715,0.8048,0.8144,0.8890395,0.798,0.5,0.5,0.813236,0.5
fri_c0_500_5.arff,0.9159,0.8772744,0.7343718,0.8622313,0.9097,0.8219,0.8361,0.8393,0,0.8923,0.9055929,0.868,0.911,0.6601923,0.8452619,0.8850997,0.9312,0.8985491,0.8022179,0.8059,0.81,0.8995108,0.794,0.5,0.5,0.8202204,0.5
fri_c0_500_50.arff,0.9264,0.8824359,0.7140322,0.8673007,0.9133,0.7841,0.8633,0.8265,0,0.9173,0.9136774,0.903,0.9279,0.7001987,0.8397595,0.8814852,0.9163,0.8931852,0.7919616,0.8548,0.8522,0.9173662,0.8522,0.5,0.5,0.8629928,0.5
fri_c1_100_10.arff,0.8368,0.7363333,0.7266667,0.7510834,0.7017,0.8099,0.7389,0.7338,0,0.6909,0.84425,0.7354,0.7005,0.765,0.7676666,0.8116667,0.8788,0.8033333,0.8158334,0.7228,0.7734,0.7083333,0.7533,0.5,0.5,0.7393333,0.5
fri_c1_100_25.arff,0.832,0.7739166,0.7658333,0.7735833,0.5753,0.764,0.8324,0.7818,0,0.5472,0.8536667,0.655,0.5745,0.6449999,0.7845,0.7990001,0.884,0.7993333,0.7950001,0.8254,0.6269,0.6748334,0.6174,0.5,0.5,0.7431667,0.5
fri_c1_100_5.arff,0.7671,0.7663333,0.7300001,0.7423333,0.7402,0.6899,0.7402,0.7194,0,0.644,0.7418334,0.6364,0.7418,0.6916667,0.7670001,0.7487501,0.7958,0.8033334,0.7633334,0.7442,0.7051,0.578,0.6657,0.5,0.5,0.6939166,0.5
fri_c1_100_50.arff,0.6485,0.6188333,0.6233333,0.6188333,0.7011,0.6932,0.6045,0.6912,0,0.7074,0.7215833,0.6341,0.7015,0.6958334,0.6438333,0.685,0.7346,0.74975,0.685,0.6508,0.655,0.7623333,0.6461,0.5,0.5,0.744,0.5
fri_c1_1000_10.arff,0.9701,0.9299347,0.7284707,0.9391948,0.7361,0.8535,0.8973,0.9009,0,0.744,0.9291473,0.7509,0.739,0.7640932,0.9211377,0.9557973,0.9757,0.9328259,0.8741452,0.9149,0.6576,0.7482036,0.6674,0.5,0.5,0.6830381,0.5
fri_c1_1000_25.arff,0.9618,0.9197684,0.6912517,0.9312556,0.7062,0.8577,0.9003,0.8994,0,0.7126,0.9273067,0.7012,0.7118,0.737769,0.9146292,0.9393959,0.969,0.9298373,0.8837902,0.9212,0.6295,0.6731723,0.6286,0.5,0.5,0.6452555,0.5
fri_c1_1000_5.arff,0.9582,0.9126712,0.700669,0.9189226,0.7058,0.8678,0.893,0.9062,0,0.7045,0.9182399,0.677,0.7058,0.7120934,0.9168852,0.9529811,0.9767,0.9239065,0.8693281,0.9035,0.6343,0.6910897,0.6298,0.5,0.5,0.6411159,0.5
fri_c1_1000_50.arff,0.9727,0.9123551,0.7255504,0.9181641,0.7363,0.8419,0.899,0.9093,0,0.7291,0.9250805,0.7224,0.7432,0.7611865,0.9217413,0.9535361,0.9747,0.9408119,0.8600455,0.9139,0.645,0.7244909,0.6659,0.5,0.5,0.6692798,0.5
fri_c1_250_10.arff,0.9437,0.9188312,0.7448053,0.9178571,0.7299,0.8929,0.8766,0.8279,0,0.7373,0.9194805,0.7009,0.7303,0.7834415,0.8435065,0.9165585,0.9506,0.905844,0.8321428,0.8514,0.6474,0.7298703,0.6581,0.5,0.5,0.6967532,0.5
fri_c1_250_25.arff,0.9367,0.8817748,0.6634199,0.8954934,0.6613,0.8577,0.8452,0.8299,0,0.6341,0.8644891,0.7002,0.6613,0.7552382,0.8553852,0.9011905,0.9505,0.9101297,0.8238962,0.8843,0.5774,0.5766926,0.5623,0.5,0.5,0.6194892,0.5
fri_c1_250_5.arff,0.9463,0.9117882,0.7577589,0.8934898,0.7283,0.8912,0.8648,0.8353,0,0.7047,0.928484,0.7194,0.7281,0.8094322,0.8731644,0.9351732,0.9629,0.9239635,0.8802988,0.859,0.6464,0.64508,0.6434,0.5,0.5,0.6745672,0.5
fri_c1_250_50.arff,0.9573,0.92751,0.7545247,0.9155551,0.757,0.8651,0.8944,0.8614,0,0.7574,0.9339699,0.7028,0.7573,0.7695013,0.8581002,0.9511403,0.963,0.9492506,0.8582168,0.8498,0.6705,0.7766816,0.6689,0.5,0.5,0.7135032,0.5
fri_c1_500_10.arff,0.9531,0.9135534,0.7234339,0.909407,0.7271,0.8748,0.9089,0.8888,0,0.7333,0.9395131,0.7168,0.7325,0.7761332,0.9079971,0.9350535,0.9655,0.9406247,0.8674711,0.9015,0.6619,0.7411674,0.6666,0.5,0.5,0.6844791,0.5
fri_c1_500_25.arff,0.9487,0.9169334,0.682855,0.9281162,0.7571,0.8835,0.8426,0.851,0,0.7472,0.9168588,0.7187,0.7571,0.6968033,0.90431,0.9057572,0.9493,0.934309,0.8317409,0.8823,0.693,0.7234757,0.6913,0.5,0.5,0.7000558,0.5
fri_c1_500_5.arff,0.9446,0.9044685,0.7417137,0.8989262,0.7202,0.8888,0.876,0.8759,0,0.7244,0.8976241,0.7567,0.7201,0.7579362,0.8869874,0.9225168,0.9496,0.9285338,0.858382,0.8827,0.7115,0.6886125,0.7198,0.5,0.5,0.665311,0.5
